"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2265124-54";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-54";"2021-02-10";"2021-02-10T15:19:56";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"0";"98";"338";"1";"Rejeitado o Requerimento. Sim: 98; não: 338; total: 446.";"2021-02-10T14:31:39";"Votação em turno único.";"";"Apresentação da Declaração de Voto n. 1 MESA, pela Deputada Major Fabiana (PSL/RJ).";"2269864";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269864"
"2265124-64";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-64";"2021-02-10";"2021-02-10T16:13:57";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"0";"103";"314";"1";"Rejeitado o Requerimento. Sim: 103; não: 314; total; 417.";"2021-02-10T14:31:39";"Votação em turno único.";"2021-02-10T15:26:05";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa.";"2269928";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269928"
"2265124-68";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-68";"2021-02-10";"2021-02-10T16:49:06";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"0";"105";"327";"2";"Rejeitadas as Emendas de Plenário. Sim: 105; não: 327; abstenção: 1; total: 433.";"2021-02-10T16:24:49";"Votação das Emendas de Plenário, com parecer pela rejeição, ressalvados os destaques.";"2021-02-10T15:26:05";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa.";"2269928";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269928"
"2265124-70";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-70";"2021-02-10";"2021-02-10T17:28:02";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"1";"339";"114";"2";"Aprovado o Projeto de Lei Complementar nº 19, de 2019, ressalvados os destaques. Sim: 339; não: 114; abstenção: 1; total: 454.";"2021-02-10T16:24:49";"Votação das Emendas de Plenário, com parecer pela rejeição, ressalvados os destaques.";"2021-02-10T15:26:05";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa.";"2269928";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269928"
"2265124-74";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-74";"2021-02-10";"2021-02-10T18:02:36";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"0";"115";"327";"1";"Rejeitada a Emenda de Plenário nº 12. Sim: 115; não: 327; total: 442.";"2021-02-10T17:28:33";"Votação do DTQ 2: PT: Emenda de Plenário n. 12. (art. 161, II)";"2021-02-10T15:26:05";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa.";"2269928";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269928"
"2265124-82";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-82";"2021-02-10";"2021-02-10T18:48:28";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"";"426";"14";"2";"Mantido o texto. Sim: 426; não: 14; abstenção: 1; total: 441.";"2021-02-10T18:06:29";"Votação do DTQ 6: NOVO: Destaque para votação em separado do parágrafo único do art. 1º do PLP 19/19, com vistas à sua supressão. (art. 161, I)";"2021-02-10T15:26:05";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa.";"2269928";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269928"
"2265124-85";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-85";"2021-02-10";"2021-02-10T19:17:34";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60305";"https://dadosabertos.camara.leg.br/api/v2/eventos/60305";"0";"140";"297";"1";"Rejeitada a Emenda de Plenário nº 28. Sim: 140; não: 297; total: 437.";"2021-02-10T18:46:37";"Votação do DTQ 9: PSB: Emenda de plenário nº 28. (art. 161, II)";"2021-02-10T15:26:05";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Silvio Costa Filho (REPUBLIC-PE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa.";"2269928";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269928"
"2265124-91";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-91";"2021-02-10";"2021-02-10T19:56:18";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"0";"104";"301";"1";"Rejeitado o Requerimento. Sim: 104; não: 301; total: 405.";"2021-02-10T19:43:06";"Continuação da votação em turno único.";"";"Apresentação da Declaração de Voto n. 5 MESA, pela Deputada Clarissa Garotinho (PROS/RJ).";"2269974";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269974"
"2265124-96";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-96";"2021-02-10";"2021-02-10T20:15:36";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"0";"130";"294";"0";"Rejeitada a Emenda de Plenário nº 19. Sim: 130; não: 294; total: 424.";"2021-02-10T19:57:02";"Votação do DTQ 1: PCdoB: Emenda de Plenário 19. (art. 161, II)";"";"Apresentação da Declaração de Voto n. 5 MESA, pela Deputada Clarissa Garotinho (PROS/RJ).";"2269974";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269974"
"2265124-102";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-102";"2021-02-10";"2021-02-10T20:45:32";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"0";"106";"319";"0";"Rejeitada a Emenda de Plenário nº 21. Sim: 106; não: 319; total: 425.";"2021-02-10T20:13:41";"Votação do DTQ 5: PSOL: Emenda de Plenário n. 21. (art. 161, II)";"";"Apresentação da Declaração de Voto n. 5 MESA, pela Deputada Clarissa Garotinho (PROS/RJ).";"2269974";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269974"
"2265124-107";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2265124-107";"2021-02-10";"2021-02-10T21:15:36";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"0";"124";"302";"1";"Rejeitada a Emenda de Plenário nº 16. Sim: 124; não: 302; total: 426.";"2021-02-10T20:43:21";"Votação do DTQ 7: PDT: Emenda de Plenário n. 16. (art. 161, II)";"";"Apresentação da Declaração de Voto n. 5 MESA, pela Deputada Clarissa Garotinho (PROS/RJ).";"2269974";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269974"
"2268683-10";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2268683-10";"2021-02-10";"2021-02-10T21:33:50";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"1";"0";"0";"0";"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).";"";"";"";"";"0";""
"2224067-81";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2224067-81";"2021-02-10";"2021-02-10T21:48:19";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"0";"102";"285";"0";"Rejeitado o Requerimento. Sim: 102. Não: 285. Total: 387.";"2021-02-10T21:34:04";"Continuação da votação em turno único.";"";"Apresentação da Declaração de Voto n. 13 MESA, pelo Deputado Gurgel (PSL/RJ).";"2269071";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269071"
"2224067-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2224067-84";"2021-02-10";"2021-02-10T22:03:07";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"0";"7";"290";"2";"Rejeitada a Emenda n° 1. Sim: 7. Não: 290. Abstenção: 1. Total: 298.";"2021-02-10T21:48:42";"Votação do DTQ 1: PT: destaque da Emenda de Plenário n. 1 (art. 161, II).";"";"Apresentação da Declaração de Voto n. 13 MESA, pelo Deputado Gurgel (PSL/RJ).";"2269071";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269071"
"2224067-87";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2224067-87";"2021-02-10";"2021-02-10T22:20:23";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"";"301";"12";"4";"Mantido o texto. Sim: 301. Não: 12. Abstenção: 3. Total 316.";"2021-02-10T22:03:29";"Votação do DTQ 4: PDT: Destaque para votação em separado do Inciso IX do art 5° do pl 5387/2019, para que o mesmo seja suprimido. (art. 161, I)";"";"Apresentação da Declaração de Voto n. 13 MESA, pelo Deputado Gurgel (PSL/RJ).";"2269071";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269071"
"2224067-90";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2224067-90";"2021-02-10";"2021-02-10T22:36:05";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"";"297";"12";"3";"Mantido o texto. Sim: 297. Não: 12. Abstenção: 2. Total: 311.";"2021-02-10T22:20:45";"Votação do DTQ 6: PT: Destaque, com vistas à rejeição, do art. 15 do Substitutivo oferecido ao PL n° 5.387/2019. (art. 161, I)";"";"Apresentação da Declaração de Voto n. 13 MESA, pelo Deputado Gurgel (PSL/RJ).";"2269071";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269071"
"2224067-92";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2224067-92";"2021-02-10";"2021-02-10T22:50:58";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60323";"https://dadosabertos.camara.leg.br/api/v2/eventos/60323";"";"306";"10";"3";"Mantido o texto. Sim: 306. Não: 10. Abstenção: 2. Total: 318.";"2021-02-10T22:36:33";"Votação do DTQ 8: PT: Destaque, com vistas à rejeição, do art. 26 do Substitutivo oferecido ao PL n° 5.387/2019. (art. 161, I)";"";"Apresentação da Declaração de Voto n. 13 MESA, pelo Deputado Gurgel (PSL/RJ).";"2269071";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269071"
"2269485-71";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269485-71";"2021-02-11";"2021-02-11T12:48:16";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60326";"https://dadosabertos.camara.leg.br/api/v2/eventos/60326";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Marcelo Ramos (PL-AM).";"2021-02-11T12:47:50";"Votação da Redação Final.";"2021-02-11T11:25:08";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Marcelo Ramos (PL-AM), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa das Emendas de Plenário e da Subemenda Substitutiva adotada pelo Relator da Mesa Diretora.";"2270103";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270103"
"2268646-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2268646-46";"2021-02-11";"2021-02-11T14:02:07";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60326";"https://dadosabertos.camara.leg.br/api/v2/eventos/60326";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Marco Bertaiolli (PSD-SP).";"2021-02-11T14:01:15";"Votação da Redação Final.";"2021-02-11T13:46:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Marco Bertaiolli (PSD-SP), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa das Emendas de Plenário nº 1 e 4; e, no mérito, pela rejeição de todas elas; constitucionalidade, injuridicidade e inadequada técnica legislativa da Emenda de Plenário nº 3; e, no mérito, pela sua rejeição.";"2270139";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270139"
"2268644-65";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2268644-65";"2021-02-11";"2021-02-11T15:06:06";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60326";"https://dadosabertos.camara.leg.br/api/v2/eventos/60326";"1";"0";"0";"0";"Aprovada a Redação Final assinada pela Relatora, Dep. Margarete Coelho (PP-PI).";"2021-02-11T15:05:43";"Votação da Redação Final.";"2021-02-11T15:09:14";"Parecer às Emendas de Plenário proferido pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa de todas as Emendas de Plenário com apoiamento regimental; e, no mérito, pela aprovação das Emendas de Plenário nºs 3 e 5, na forma da Subemenda Substitutiva Global apresentada, e pela rejeição da Emenda de Plenário nº 2.";"2270164";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270164"
"2269710-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269710-9";"2021-02-11";"2021-02-11T10:21:23";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60326";"https://dadosabertos.camara.leg.br/api/v2/eventos/60326";"1";"360";"11";"1";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 360; não: 11; abstenção: 1; total: 372.";"";"";"";"";"0";""
"2269485-45";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269485-45";"2021-02-11";"2021-02-11T11:58:10";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60326";"https://dadosabertos.camara.leg.br/api/v2/eventos/60326";"0";"12";"358";"1";"Rejeitado o Requerimento. Sim: 12; não: 358; total: 370.";"";"";"2021-02-11T11:25:08";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Marcelo Ramos (PL-AM), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa das Emendas de Plenário e da Subemenda Substitutiva adotada pelo Relator da Mesa Diretora.";"2270103";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270103"
"2269485-51";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269485-51";"2021-02-11";"2021-02-11T12:13:09";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60326";"https://dadosabertos.camara.leg.br/api/v2/eventos/60326";"1";"0";"0";"0";"Aprovada a Subemenda Substitutiva de Global ao Projeto de Resolução nº 6, de 2021, adotada pelo Relator da Mesa Diretora da Câmara dos Deputados, ressalvados os destaques.";"2021-02-11T11:59:24";"Votação em turno único.";"2021-02-11T11:25:08";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Marcelo Ramos (PL-AM), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa das Emendas de Plenário e da Subemenda Substitutiva adotada pelo Relator da Mesa Diretora.";"2270103";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270103"
"2269485-69";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2269485-69";"2021-02-11";"2021-02-11T12:47:36";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"60326";"https://dadosabertos.camara.leg.br/api/v2/eventos/60326";"0";"97";"310";"1";"Rejeitada a Emenda de Plenário nº 3. Sim: 97; não: 310; total: 407.";"2021-02-11T12:22:10";"Votação do DTQ 4: PSOL: Emenda de Plenário nº 3. (art. 161, II)";"2021-02-11T11:25:08";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Marcelo Ramos (PL-AM), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa das Emendas de Plenário e da Subemenda Substitutiva adotada pelo Relator da Mesa Diretora.";"2270103";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270103"
